site,season,npp_dry,npp_carbon,npp_nitrogen,growth_rate_dry,growth_rate_carbon,growth_rate_nitrogen,se_npp_dry,se_npp_carbon,se_npp_nitrogen,se_growth_rate_dry,se_growth_rate_carbon,se_growth_rate_nitrogen
ABUR,1-Winter,1.718653e-4,5.00694e-5,3.6215746e-6,0.0368071618,0.0365702061,0.0393447499,3.64878e-5,1.08422e-5,7.9509884e-7,0.0062557774,0.0063137415,0.0065829643
ABUR,2-Spring,3.46687e-4,9.60126e-5,5.8033794e-6,0.0346254704,0.0342633014,0.0320763219,5.16418e-5,1.48999e-5,1.0942211e-6,0.003243534,0.0033078254,0.0037647645
ABUR,3-Summer,0.00109133,3.188087e-4,1.27669e-5,0.0436118765,0.0441703704,0.0390478824,1.394986e-4,4.20964e-5,2.0617513e-6,0.0041720405,0.0042111265,0.0046126492
ABUR,4-Autumn,0.0039638296,0.0010080317,6.12146e-5,0.0376306,0.0357935592,0.0431099186,5.16461e-4,1.405366e-4,9.6923076e-6,0.0040063046,0.0040558652,0.0044456822
AQUE,1-Winter,0.0213590767,0.0053641025,3.682549e-4,0.0297967554,0.0271789868,0.0331233286,0.0019772828,5.736097e-4,4.45168e-5,0.002531501,0.0026446686,0.0030017346
AQUE,2-Spring,0.0169146117,0.0041572779,3.881666e-4,0.0228588893,0.0238038294,0.025031923,0.0017186308,4.505279e-4,5.35721e-5,0.0020983758,0.0022151346,0.0025950819
AQUE,3-Summer,0.0091688566,0.0029045868,9.46748e-5,0.0257219669,0.0278267266,0.0198886441,8.950372e-4,2.888711e-4,1.76239e-5,0.0022268977,0.0023449794,0.0027744219
AQUE,4-Autumn,0.0119049392,0.002795674,2.249199e-4,0.0346725888,0.0311048319,0.0399411445,0.0015722166,4.15045e-4,3.5792e-5,0.004511289,0.0045517086,0.0049636928
MOHK,1-Winter,0.0320598938,0.0087956287,6.917676e-4,0.0411487941,0.0393333909,0.0441919917,0.0028914649,8.808343e-4,8.2737e-5,0.0032880785,0.0033717249,0.0037146768
MOHK,2-Spring,0.0337112882,0.0082200127,5.766384e-4,0.0351017757,0.0347664787,0.033008362,0.0028593709,7.834025e-4,7.51071e-5,0.0026620634,0.0027366707,0.0031961197
MOHK,3-Summer,0.0180909614,0.004702048,2.308963e-4,0.0287950844,0.0289955209,0.0236387733,0.0020366586,5.489702e-4,3.56973e-5,0.0029844218,0.0030703574,0.0034787384
MOHK,4-Autumn,0.0146476191,0.0037657148,2.718274e-4,0.0367230514,0.0366040178,0.0423579947,0.0017475236,4.902674e-4,4.19577e-5,0.005100474,0.0051918041,0.005438619
