Site,Year,Season,NPP_dry,NPP_carbon,NPP_nitrogen,Growth_rate_dry,Growth_rate_carbon,Growth_rate_nitrogen,SE_NPP_dry,SE_NPP_carbon,SE_NPP_nitrogen,SE_growth_rate_dry,SE_growth_rate_carbon,SE_growth_rate_nitrogen
ABUR,2002,3-Summer,0.0299024378,0.0084457,0.0006252707,0.0265634419,0.0252857409,0.0262345967,0.0035286948,0.0011018813,0.0000975792,0.0024199115,0.0025068921,0.0029805764
ABUR,2002,4-Autumn,0.0188444274,0.0047301713,0.0004093915,0.0261975568,0.0254392345,0.0247888517,0.0038453705,0.0010404296,0.0000922701,0.0050009086,0.0051822503,0.0052485354
ABUR,2003,1-Winter,0.0065886485,0.001862393,0.0001223335,0.0462618661,0.0477560912,0.046660772,0.0014723812,0.0004133469,0.0000298153,0.0064283925,0.0064944675,0.0067895375
ABUR,2003,2-Spring,0.0039298594,0.0012162977,0.0001043574,0.0333566544,0.0347310265,0.0355035434,0.0008322917,0.0002561681,0.0000226751,0.0054392731,0.0055214826,0.0057486754
ABUR,2003,3-Summer,0.0024873123,0.0008474102,0.0000524086,0.0281430645,0.0286985189,0.0285499253,0.0003723425,0.0001282181,9.6447111E-6,0.0036238903,0.0036761377,0.0039840075
ABUR,2003,4-Autumn,0.0032947012,0.000892402,0.0000755952,0.0353917033,0.0324167729,0.036226131,0.0005298615,0.0001566045,0.000013888,0.0045599334,0.0045716762,0.0048203781
ABUR,2004,1-Winter,0.001918464,0.0005020421,0.000046665,0.0195662239,0.0193873792,0.0184308961,0.0005459084,0.0001478078,0.0000152729,0.0049177461,0.0049978949,0.0053005735
ABUR,2004,2-Spring,0.0000482831,0.0000129629,1.1097874E-6,0.02237667,0.0236598378,0.0253227106,9.1916275E-6,2.4602565E-6,2.4287007E-7,0.0046520991,0.0047861306,0.0052523852
ABUR,2004,3-Summer,0.0010408214,0.0003006528,0.0000136235,0.0580516598,0.0588341957,0.0516724353,0.0001466545,0.0000435119,2.3842971E-6,0.0044729933,0.0045190182,0.0049634615
ABUR,2004,4-Autumn,0.0027674793,0.0007697443,0.000033822,0.0363938515,0.035776501,0.0371596847,0.0003764613,0.0001116255,5.856809E-6,0.0034571661,0.003506348,0.004000072
ABUR,2005,1-Winter,0.0004874632,0.0001098346,6.1493344E-6,0.0132465031,0.0133252799,0.01321508,0.0001972893,0.000050581,2.7413954E-6,0.0049199313,0.005027476,0.0052356002
ABUR,2005,2-Spring,0.0014297709,0.0003785094,0.000037881,0.042081552,0.0419805586,0.049126792,0.0001911685,0.0000536617,6.5500103E-6,0.0036322284,0.003873566,0.0041371042
ABUR,2005,3-Summer,0.0015167304,0.000414685,0.0000162166,0.0283718572,0.0292262145,0.01899552,0.0002190558,0.0000621357,3.699325E-6,0.0033602453,0.0034618509,0.0036921162
ABUR,2005,4-Autumn,0.0027088667,0.0007401567,0.000035146,0.0297793086,0.0297187819,0.033253131,0.0003808605,0.0001101651,6.3102978E-6,0.0030113887,0.0031163698,0.0037140095
ABUR,2006,1-Winter,0.0006449503,0.000168272,0.0000162606,0.0242286218,0.0226880837,0.0297112613,0.0001370225,0.0000414574,3.4331483E-6,0.0033673767,0.0034706183,0.0043013364
ABUR,2006,2-Spring,0.0009409859,0.0002837293,0.0000196447,0.0313327774,0.033639061,0.027831525,0.0001548441,0.0000458164,4.5256573E-6,0.0044523934,0.0044456874,0.005372198
ABUR,2006,3-Summer,0.0004141681,0.0001185668,2.29067E-6,0.0224558022,0.0209862232,0.0166864897,0.0000847376,0.000026239,7.5230927E-7,0.0035451272,0.0035886118,0.0041103618
ABUR,2006,4-Autumn,0.0003531507,0.0000969472,4.0387454E-6,0.0187916576,0.0175768608,0.0247931036,0.0000876053,0.0000249294,1.0730266E-6,0.0043368251,0.0044817198,0.0049388379
ABUR,2007,1-Winter,0.0001718653,0.0000500694,3.6215746E-6,0.0368071618,0.0365702061,0.0393447499,0.0000364878,0.0000108422,7.9509884E-7,0.0062557774,0.0063137415,0.0065829643
ABUR,2007,2-Spring,0.000346687,0.0000960126,5.8033794E-6,0.0346254704,0.0342633014,0.0320763219,0.0000516418,0.0000148999,1.0942211E-6,0.003243534,0.0033078254,0.0037647645
ABUR,2007,3-Summer,0.00109133,0.0003188087,0.0000127669,0.0436118765,0.0441703704,0.0390478824,0.0001394986,0.0000420964,2.0617513E-6,0.0041720405,0.0042111265,0.0046126492
ABUR,2007,4-Autumn,0.0039638296,0.0010080317,0.0000612146,0.0376306,0.0357935592,0.0431099186,0.000516461,0.0001405366,9.6923076E-6,0.0040063046,0.0040558652,0.0044456822
ABUR,2008,1-Winter,0.001995792,0.0005324998,0.0000466339,0.0432741382,0.04507611,0.0471978749,0.0003361898,0.0000899955,8.3868783E-6,0.0060375587,0.0060319408,0.0062911679
ABUR,2008,2-Spring,0.0027544794,0.0008498269,0.0000529511,0.0378343545,0.0380350168,0.0350110199,0.0003875053,0.0001397624,0.0000111503,0.0027279598,0.0029495524,0.0036052505
ABUR,2008,3-Summer,0.001321186,0.0004179312,0.0000123471,0.0128399551,0.0140471456,0.0099941375,0.0002905094,0.0000945629,4.535004E-6,0.0027271779,0.0029632195,0.0034294982
ABUR,2008,4-Autumn,0.0033748828,0.0010828866,0.0000620724,0.0382806408,0.0388277064,0.0453099972,0.0004982673,0.0001662622,0.000010655,0.0038994106,0.0040473619,0.004538867
ABUR,2009,1-Winter,0.0087545888,0.0025288788,0.0001825696,0.0632236954,0.0619336199,0.0655657568,0.0016790825,0.0005023444,0.0000393641,0.0079591164,0.0079984918,0.0082361974
ABUR,2009,2-Spring,0.0011962349,0.0003799869,0.0000325497,0.0324147885,0.0332257293,0.0331691613,0.000330621,0.0001023264,9.9298763E-6,0.0070750453,0.0071371135,0.0072941647
ABUR,2009,3-Summer,0.0003533725,0.0001197094,6.1894025E-6,0.0217655554,0.0235737397,0.0203595551,0.0000872034,0.0000282623,1.7720628E-6,0.0046904465,0.0048180373,0.0051540353
