"site","datetime","latitude_degN","longitude_degW","temp_lab","pH_lab","TA_lab","salinity_lab","totalPt","totalSit","P","CO2","fCO2","pCO2","HCO3","CO3","DIC","OmegaAragonite","OmegaCalcite","temp_insitu","pH_adjusted","CO2_adjusted","fCO2_adjusted","pCO2_adjusted","HCO3_adjusted","CO3_adjusted","DIC_adjusted","OmegaAragonite_adjusted","OmegaCalcite_adjusted","k1k2","kf","ks","pHscale"
"ALC","2012-02-12 21:00:00",34.0164,-119.3621,-9999,-9999,2231,33.3,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.82,8.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"ALC","2012-03-21 20:30:00",34.0164,-119.3621,-9999,-9999,2238,33.3,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.2,7.96,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"ALC","2012-05-16 17:00:00",34.0164,-119.3621,-9999,-9999,2238,33.3,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.15,8.04,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"ALC","2012-09-19 17:30:00",34.0164,-119.3621,-9999,-9999,2239,33.2,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.42,8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"ALC","2012-09-19 19:00:00",34.0164,-119.3621,-9999,-9999,2237,33.2,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.33,8.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"ALC","2013-01-30 18:00:00",34.0164,-119.3621,-9999,-9999,2234,33.1,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.61,7.96,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"ALC","2013-05-12 21:30:00",34.0164,-119.3621,-9999,-9999,2238,33.6,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.81,8.05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"ALC","2013-07-03 17:00:00",34.0164,-119.3621,-9999,-9999,2231,33.62,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.08,8.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"ALC","2013-07-03 21:30:00",34.0164,-119.3621,-9999,-9999,2229,33.61,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.17,8.02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"ALC","2013-08-07 18:30:00",34.0164,-119.3621,-9999,-9999,2241,33.6,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.81,8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
